orderid,brand_name,product_name,sales_ammount,sales_date
0000001,Apple,iphon11,854.39,2023-02-03
0000002,Apple,iphone12,861.76,2023-02-03
0000003,Apple,iphone12,881.93,2023-02-03
0000004,Apple,IpadMax,973.02,2023-02-03
0000005,Samsung,galaxy13,678.88,2023-02-03
0000006,Nokia,Nk320,387.36,2023-02-03
0000007,Samsung,galaxy10,965.25,2023-02-03
0000008,Samsung,galaxy12,540.48,2023-02-03
0000009,Samsung,galaxy12,245.46,2023-02-03
0000010,Nokia,Nk500,938.77,2023-02-03
0000011,Apple,laptop256,869.0,2023-02-03
0000012,Apple,iphon11,396.12,2023-02-03
0000013,Samsung,watch320,266.93,2023-02-03
0000014,Samsung,galaxy12,739.53,2023-02-03
0000015,Apple,IpadMax,987.9,2023-02-03
0000016,Apple,iphone13,447.42,2023-02-03
0000017,Nokia,Nk500,813.66,2023-02-03
0000018,Nokia,Nk320,281.71,2023-02-03
0000019,Samsung,galaxy13,821.05,2023-02-03
0000020,Apple,IpadMax,833.33,2023-02-03
0000021,Samsung,galaxy10,167.31,2023-02-03
0000022,Samsung,galaxy11,472.81,2023-02-03
0000023,Apple,iphone13,258.16,2023-02-03
0000024,Nokia,Nk400,684.65,2023-02-03
0000025,Samsung,galaxy12,121.2,2023-02-03
0000026,Apple,Macbook512,975.84,2023-02-03
0000027,Nokia,Nk320,274.46,2023-02-03
0000028,Nokia,Nk400,237.9,2023-02-03
0000029,Nokia,Nk500,525.13,2023-02-03
0000030,Nokia,Nk500,567.36,2023-02-03
0000031,Samsung,galaxy10,355.81,2023-02-03
0000032,Apple,iphoneSE,146.17,2023-02-03
0000033,Nokia,Nk400,416.84,2023-02-03
0000034,Samsung,galaxy10,979.73,2023-02-03
0000035,Nokia,Nk400,576.36,2023-02-03
0000036,Samsung,watch320,798.04,2023-02-03
0000037,Nokia,Nk400,159.31,2023-02-03
0000038,Apple,IpadMax,644.43,2023-02-03
0000039,Nokia,Nk500,507.3,2023-02-03
0000040,Samsung,galaxy11,216.9,2023-02-03
0000041,Nokia,Nk320,813.89,2023-02-03
0000042,Samsung,watch320,359.6,2023-02-03
0000043,Nokia,Nk320,227.88,2023-02-03
0000044,Samsung,galaxy13,903.22,2023-02-03
0000045,Samsung,watch340,451.18,2023-02-03
0000046,Samsung,galaxy12,898.36,2023-02-03
0000047,Nokia,Nk400,803.06,2023-02-03
0000048,Nokia,Nk400,414.58,2023-02-03
0000049,Nokia,Nk500,750.71,2023-02-03
0000050,Apple,Macbook512,685.6,2023-02-03
0000051,Apple,iphon11,416.93,2023-02-03
0000052,Nokia,Nk400,773.78,2023-02-03
0000053,Samsung,galaxy11,850.84,2023-02-03
0000054,Samsung,galaxy10,127.23,2023-02-03
0000055,Apple,IpadMax,805.28,2023-02-03
0000056,Apple,Macbook512,570.02,2023-02-03
0000057,Samsung,watch320,170.48,2023-02-03
0000058,Samsung,watch340,473.23,2023-02-03
0000059,Nokia,Nk500,101.77,2023-02-03
0000060,Apple,laptop256,880.5,2023-02-03
0000061,Apple,laptop256,979.89,2023-02-03
0000062,Apple,laptop256,147.91,2023-02-03
0000063,Nokia,Nk500,645.1,2023-02-03
0000064,Nokia,Nk400,256.94,2023-02-03
0000065,Samsung,galaxy13,721.59,2023-02-03
0000066,Apple,Macbook512,860.08,2023-02-03
0000067,Samsung,galaxy13,615.44,2023-02-03
0000068,Samsung,watch320,601.49,2023-02-03
