orderid,brand_name,product_name,sales_ammount,sales_date
0000001,Samsung,galaxy13,98653.6,2018-09-29
0000002,Samsung,watch320,22830.73,2018-10-01
0000003,Apple,IpadMini,99294.75,2020-01-22
0000004,Nokia,Nk500,36960.43,2020-02-08
0000005,Apple,laptop256,25199.34,2019-04-23
0000006,Apple,IpadMax,40654.6,2019-08-14
0000007,Samsung,watch320,81782.36,2019-09-17
0000008,Samsung,galaxy10,57625.53,2019-10-13
0000009,Apple,iphone12,69183.49,2019-08-09
0000010,Nokia,Nk320,36896.48,2020-02-09
0000011,Apple,iphoneSE,98516.86,2019-01-04
0000012,Samsung,galaxy12,19123.52,2019-10-01
0000013,Nokia,Nk320,34407.08,2020-01-23
0000014,Nokia,Nk320,87428.04,2018-11-19
0000015,Nokia,Nk320,62485.64,2019-08-27
0000016,Nokia,Nk400,40688.94,2018-06-20
0000017,Apple,iphon11,41038.67,2018-05-17
0000018,Nokia,Nk500,79374.37,2020-01-19
0000019,Apple,Macbook512,6653.69,2018-07-04
0000020,Samsung,watch320,7057.75,2020-02-11
0000021,Samsung,watch320,53306.73,2020-02-21
0000022,Apple,IpadMini,8907.87,2018-06-10
0000023,Nokia,Nk400,73086.86,2019-11-30
0000024,Samsung,watch340,80882.4,2018-09-21
0000025,Samsung,galaxy11,60395.09,2019-05-11
0000026,Apple,Macbook512,40477.63,2019-06-09
0000027,Nokia,Nk500,40290.83,2019-09-25
0000028,Samsung,watch320,84447.43,2019-11-04
0000029,Samsung,galaxy13,32094.35,2018-09-13
0000030,Apple,iphoneSE,87634.32,2019-10-14
0000031,Apple,iphone13,61225.7,2018-11-12
0000032,Samsung,galaxy12,47324.17,2019-07-20
0000033,Apple,IpadMini,78178.06,2019-12-12
0000034,Apple,IpadMax,7884.29,2019-10-09
0000035,Samsung,watch340,17.16,2020-04-02
0000036,Nokia,Nk400,81143.32,2019-08-22
0000037,Samsung,galaxy11,8727.28,2019-01-08
0000038,Nokia,Nk500,56512.35,2019-01-08
0000039,Nokia,Nk400,79833.09,2020-01-28
0000040,Nokia,Nk500,46.24,2019-09-26
0000041,Apple,Macbook512,32927.27,2019-10-10
0000042,Nokia,Nk400,10711.22,2019-04-13
0000043,Nokia,Nk400,77775.77,2019-03-28
0000044,Apple,laptop256,43989.18,2019-01-28
0000045,Samsung,watch340,96397.95,2020-04-27
0000046,Apple,iphone12,11415.23,2018-06-16
0000047,Samsung,watch320,85304.81,2019-03-09
0000048,Nokia,Nk400,69056.92,2018-06-04
0000049,Nokia,Nk500,84073.28,2019-10-13
0000050,Nokia,Nk320,37415.05,2018-10-26
0000051,Nokia,Nk500,90741.76,2019-12-25
0000052,Samsung,galaxy11,71047.94,2019-01-07
0000053,Nokia,Nk400,83221.39,2019-04-22
0000054,Nokia,Nk400,42752.71,2019-09-28
0000055,Apple,IpadMini,56357.5,2019-05-02
0000056,Apple,iphon11,86255.72,2019-05-06
0000057,Nokia,Nk500,49330.69,2018-08-14
0000058,Samsung,galaxy12,40914.59,2019-04-22
0000059,Nokia,Nk320,51973.97,2019-10-06
0000060,Nokia,Nk320,11541.21,2018-12-07
0000061,Apple,iphoneSE,12636.56,2018-07-19
0000062,Samsung,galaxy13,21137.64,2018-12-30
0000063,Apple,iphoneSE,79066.5,2019-05-06
0000064,Nokia,Nk500,14164.21,2019-03-27
0000065,Samsung,galaxy13,95275.65,2019-12-30
0000066,Nokia,Nk320,40553.38,2020-01-09
0000067,Samsung,watch320,11523.01,2020-04-21
0000068,Samsung,watch320,68077.93,2018-11-17
0000069,Nokia,Nk320,88263.98,2019-03-19
0000070,Nokia,Nk320,31538.36,2019-06-20
0000071,Nokia,Nk320,2496.39,2019-12-12
0000072,Nokia,Nk320,8264.44,2020-02-25
0000073,Nokia,Nk500,97663.85,2019-12-21
0000074,Nokia,Nk500,13125.26,2020-02-25
0000075,Nokia,Nk400,8034.16,2019-07-28
0000076,Nokia,Nk400,16233.45,2018-07-15
0000077,Samsung,galaxy13,34697.95,2020-01-17
0000078,Apple,iphoneSE,93772.06,2018-09-30
0000079,Samsung,galaxy13,98470.9,2019-08-20
0000080,Apple,iphone12,4264.34,2018-11-25
0000081,Apple,IpadMini,51772.81,2018-11-03
0000082,Samsung,watch340,34461.11,2019-12-04
0000083,Apple,iphone12,60494.03,2019-11-13
0000084,Apple,Macbook512,58946.81,2019-05-31
0000085,Apple,iphone13,15879.71,2019-07-28
0000086,Apple,iphoneSE,57237.82,2018-08-27
0000087,Samsung,watch320,52251.13,2018-05-28
0000088,Nokia,Nk400,86833.27,2020-03-25
0000089,Nokia,Nk400,7349.62,2019-07-18
0000090,Samsung,galaxy13,70381.58,2018-06-24
0000091,Apple,IpadMax,45181.68,2019-06-14
0000092,Apple,IpadMini,4383.0,2020-01-06
0000093,Samsung,watch340,62883.42,2019-06-21
0000094,Samsung,galaxy13,12963.66,2018-07-15
0000095,Apple,iphone13,52901.15,2020-01-03
