tran_id,cust_id,tran_ammount,tran_type,tran_country_cd,tran_date
000001,CA4685,36408283.66,D,PAL,2022-01-02
000002,CA5580,710146.78,D,KON,2022-01-02
000003,CA1331,80790483.62,D,CAN,2022-01-02
000004,CA9122,14268037.31,D,AFG,2022-01-02
000005,CA3863,73650439.82,C,CAN,2022-01-02
000006,CA5775,82549656.07,D,AFG,2022-01-02
000007,CA0695,74595760.37,C,IND,2022-01-02
000008,CA1101,88135310.32,C,CAN,2022-01-02
000009,CA1958,96153078.71,D,PAL,2022-01-02
000010,CA6774,3867743.21,C,CAN,2022-01-02
000011,CA4294,83779651.44,C,AFG,2022-01-02
000012,CA8829,32692382.42,D,PAL,2022-01-02
000013,CA5253,91630340.41,C,IND,2022-01-02
000014,CA5207,94311058.63,D,KON,2022-01-02
000015,CA9755,86851.24,C,CAN,2022-01-02
000016,CA0234,97649323.24,D,CAN,2022-01-02
000017,CA3178,44907186.83,D,CAN,2022-01-02
000018,CA8072,28831903.45,D,CHN,2022-01-02
000019,CA5726,62290592.97,C,USA,2022-01-02
000020,CA7067,40311203.43,C,PAL,2022-01-02
000021,CA3345,5348433.91,D,JPN,2022-01-02
000022,CA7587,94847350.61,D,PAL,2022-01-02
000023,CA4649,46282235.28,D,PAL,2022-01-02
000024,CA4740,96265766.24,C,CAN,2022-01-02
000025,CA1674,253554.41,D,AFG,2022-01-02
000026,CA5443,16034330.6,D,KON,2022-01-02
000027,CA7724,70710928.61,C,IND,2022-01-02
000028,CA9521,11707001.91,D,PAL,2022-01-02
000029,CA8059,66784743.41,C,IND,2022-01-02
000030,CA8757,2765910.55,C,AFG,2022-01-02
000031,CA1155,47216900.89,D,USA,2022-01-02
000032,CA9961,81416392.41,C,AFG,2022-01-02
000033,CA9778,27398657.79,D,KON,2022-01-02
000034,CA7969,81319869.26,D,AFG,2022-01-02
000035,CA4777,14274063.63,D,PAL,2022-01-02
000036,CA5973,26296687.08,D,CAN,2022-01-02
000037,CA7041,7600218.09,C,JPN,2022-01-02
000038,CA0107,81211752.11,D,JPN,2022-01-02
000039,CA6216,4509363.16,D,CAN,2022-01-02
000040,CA9728,86779277.04,D,AFG,2022-01-02
000041,CA9994,36906473.02,C,CHN,2022-01-02
000042,CA1462,42187240.66,D,AFG,2022-01-02
000043,CA3934,78924602.24,D,JPN,2022-01-02
000044,CA0342,98848642.41,C,CHN,2022-01-02
000045,CA0634,86495538.35,C,JPN,2022-01-02
000046,CA9827,27939799.78,D,CAN,2022-01-02
000047,CA0295,4798265.6,C,CHN,2022-01-02
000048,CA8949,5860877.43,C,PAL,2022-01-02
000049,CA8110,65910219.9,D,IND,2022-01-02
000050,CA2077,44145210.16,D,PAL,2022-01-02
000051,CA1176,21891916.1,D,JPN,2022-01-02
000052,CA7717,23566955.91,D,CAN,2022-01-02
000053,CA4666,882973.03,C,USA,2022-01-02
000054,CA0703,35242226.22,C,AFG,2022-01-02
000055,CA4169,93202864.49,D,PAL,2022-01-02
000056,CA4442,37791917.7,D,CAN,2022-01-02
000057,CA2691,21545015.13,D,KON,2022-01-02
000058,CA0421,93806883.3,C,CAN,2022-01-02
000059,CA4421,13621937.06,C,CAN,2022-01-02
000060,CA5345,69189925.83,C,IND,2022-01-02
000061,CA6398,64312225.36,C,CAN,2022-01-02
000062,CA0679,38610214.28,D,JPN,2022-01-02
000063,CA6065,9154300.93,D,JPN,2022-01-02
000064,CA5540,89951024.01,D,AFG,2022-01-02
000065,CA6172,55364912.04,D,KON,2022-01-02
000066,CA1833,34318301.76,C,CAN,2022-01-02
000067,CA2330,63632533.81,D,CAN,2022-01-02
000068,CA3862,33369273.11,D,PAL,2022-01-02
000069,CA3991,42512623.63,D,CHN,2022-01-02
000070,CA5005,19131431.89,D,PAL,2022-01-02
000071,CA8552,89410919.73,D,JPN,2022-01-02
000072,CA5378,20768112.37,C,CHN,2022-01-02
000073,CA0659,5556065.21,C,CHN,2022-01-02
000074,CA4485,57044716.26,D,PAL,2022-01-02
000075,CA1348,1142251.18,C,USA,2022-01-02
000076,CA3929,65353318.48,D,JPN,2022-01-02
000077,CA9240,45031905.8,D,PAL,2022-01-02
000078,CA7343,39219340.66,C,IND,2022-01-02
000079,CA6553,99806349.26,D,KON,2022-01-02
000080,CA3600,71488425.49,C,AFG,2022-01-02
000081,CA6756,1122305.54,C,IND,2022-01-02
000082,CA0321,66240280.06,D,CAN,2022-01-02
000083,CA7332,69360482.06,D,KON,2022-01-02
000084,CA3361,87046279.23,D,JPN,2022-01-02
000085,CA0574,74663051.1,D,JPN,2022-01-02
000086,CA7068,34262161.81,C,USA,2022-01-02
000087,CA0057,90548817.35,D,USA,2022-01-02
000088,CA6411,40892403.55,C,IND,2022-01-02
000089,CA6837,60648065.58,D,USA,2022-01-02
000090,CA6476,978996.88,D,IND,2022-01-02
000091,CA9499,50995498.36,D,USA,2022-01-02
000092,CA5086,87984423.68,D,KON,2022-01-02
000093,CA7870,38951448.07,C,JPN,2022-01-02
000094,CA4952,51741533.29,D,IND,2022-01-02
000095,CA0032,29012480.25,C,CHN,2022-01-02
000096,CA8510,55049777.99,C,IND,2022-01-02
000097,CA2834,76060963.56,D,AFG,2022-01-02
000098,CA0741,10643511.3,C,PAL,2022-01-02
000099,CA5389,15404890.12,D,JPN,2022-01-02
000100,CA9376,71764882.47,D,CHN,2022-01-02
000101,CA8442,96995089.17,C,JPN,2022-01-02
000102,CA5277,74324543.08,C,CAN,2022-01-02
000103,CA8772,31174438.02,C,PAL,2022-01-02
000104,CA5104,34464217.57,D,JPN,2022-01-02
000105,CA3606,65390124.38,C,CAN,2022-01-02
000106,CA5777,9705552.95,C,PAL,2022-01-02
000107,CA3607,86973970.04,D,CHN,2022-01-02
000108,CA4296,97447984.42,D,PAL,2022-01-02
000109,CA9260,6101921.5,C,AFG,2022-01-02
000110,CA7231,61851717.66,C,KON,2022-01-02
000111,CA4958,29389458.28,C,JPN,2022-01-02
000112,CA5245,14795872.4,C,PAL,2022-01-02
000113,CA7831,54568806.27,D,KON,2022-01-02
000114,CA5157,8693050.54,D,USA,2022-01-02
000115,CA8679,38718181.12,C,PAL,2022-01-02
000116,CA0268,33988162.01,C,PAL,2022-01-02
000117,CA9272,85565505.79,D,USA,2022-01-02
000118,CA8087,45711409.71,D,KON,2022-01-02
000119,CA3907,20711201.83,D,PAL,2022-01-02
000120,CA6485,90756220.84,C,JPN,2022-01-02
000121,CA2253,52245023.94,C,KON,2022-01-02
000122,CA8513,80752635.13,C,KON,2022-01-02
000123,CA2163,96718638.09,D,PAL,2022-01-02
000124,CA3784,66830172.38,C,JPN,2022-01-02
000125,CA7273,99505511.75,C,CHN,2022-01-02
000126,CA6559,87136642.06,D,USA,2022-01-02
000127,CA2999,62599781.12,D,IND,2022-01-02
000128,CA9815,42576568.44,C,KON,2022-01-02
000129,CA8861,2341556.02,D,PAL,2022-01-02
000130,CA2441,30491505.88,D,AFG,2022-01-02
000131,CA4811,42200953.73,D,USA,2022-01-02
000132,CA4739,35424226.81,D,AFG,2022-01-02
000133,CA3409,51670360.68,C,CAN,2022-01-02
000134,CA7406,34320424.0,C,IND,2022-01-02
000135,CA4706,44309236.03,C,CHN,2022-01-02
000136,CA0312,32354764.48,D,CAN,2022-01-02
000137,CA1399,99088543.79,D,JPN,2022-01-02
000138,CA6023,64116260.85,D,IND,2022-01-02
000139,CA9805,81159881.42,C,JPN,2022-01-02
000140,CA0683,26694823.29,D,KON,2022-01-02
000141,CA3953,47238061.16,C,AFG,2022-01-02
000142,CA1331,11908969.57,C,PAL,2022-01-02
000143,CA7568,95008858.09,D,KON,2022-01-02
000144,CA6008,20045403.85,C,AFG,2022-01-02
000145,CA6916,13604560.68,C,CAN,2022-01-02
000146,CA7019,42581275.06,D,IND,2022-01-02
000147,CA6366,72987028.18,C,KON,2022-01-02
000148,CA9755,84757569.93,C,KON,2022-01-02
000149,CA9790,16027157.83,D,AFG,2022-01-02
000150,CA3409,4516085.18,C,IND,2022-01-02
000151,CA8062,34310098.77,C,AFG,2022-01-02
000152,CA8415,36862737.97,C,KON,2022-01-02
000153,CA2530,83459722.39,D,PAL,2022-01-02
000154,CA0425,67846652.18,C,PAL,2022-01-02
000155,CA3347,1078266.59,C,JPN,2022-01-02
000156,CA4593,63562563.96,C,JPN,2022-01-02
000157,CA2767,8273760.76,D,JPN,2022-01-02
000158,CA9640,68775149.53,D,CAN,2022-01-02
000159,CA6264,59572128.62,D,PAL,2022-01-02
000160,CA7115,25971138.2,D,JPN,2022-01-02
000161,CA1964,55110382.32,C,USA,2022-01-02
000162,CA6865,17687264.95,D,KON,2022-01-02
000163,CA5900,20193273.29,D,USA,2022-01-02
000164,CA6412,60976571.0,C,USA,2022-01-02
000165,CA0746,65508728.54,C,CAN,2022-01-02
000166,CA9658,33033156.45,C,JPN,2022-01-02
000167,CA5130,50933885.73,D,AFG,2022-01-02
000168,CA0346,47272179.52,C,KON,2022-01-02
000169,CA2925,42138099.7,D,USA,2022-01-02
000170,CA8945,18366004.44,D,CAN,2022-01-02
000171,CA6439,30790366.35,D,KON,2022-01-02
000172,CA7275,14741964.34,D,PAL,2022-01-02
000173,CA4304,61228636.25,D,IND,2022-01-02
000174,CA3506,4871563.58,C,CAN,2022-01-02
000175,CA3483,94822906.99,D,PAL,2022-01-02
000176,CA5551,94603365.21,D,IND,2022-01-02
000177,CA4874,89880404.23,D,KON,2022-01-02
000178,CA3657,1122647.72,D,CHN,2022-01-02
000179,CA8053,18100156.61,C,AFG,2022-01-02
000180,CA9072,99765024.77,D,USA,2022-01-02
000181,CA0736,8435245.91,D,CHN,2022-01-02
000182,CA0381,92360340.71,D,AFG,2022-01-02
000183,CA7353,97857649.68,D,PAL,2022-01-02
000184,CA0500,56166611.69,C,CAN,2022-01-02
000185,CA4611,15379162.62,C,AFG,2022-01-02
000186,CA6877,96961788.11,D,CAN,2022-01-02
000187,CA4999,38029841.33,D,IND,2022-01-02
000188,CA0657,59519942.83,D,CAN,2022-01-02
000189,CA5790,55158737.2,C,IND,2022-01-02
000190,CA4843,79764548.99,C,CHN,2022-01-02
000191,CA3072,35897985.79,C,CHN,2022-01-02
000192,CA3017,98124861.45,D,KON,2022-01-02
000193,CA3836,35287692.36,D,AFG,2022-01-02
000194,CA1763,37659362.73,C,CHN,2022-01-02
000195,CA3786,45255306.93,D,JPN,2022-01-02
000196,CA8902,25287672.87,C,PAL,2022-01-02
000197,CA4943,62457780.61,C,USA,2022-01-02
000198,CA4034,15566723.29,C,USA,2022-01-02
000199,CA4303,15927157.11,C,AFG,2022-01-02
000200,CA1855,44935944.19,D,USA,2022-01-02
000201,CA8502,43687879.8,C,USA,2022-01-02
000202,CA0735,16717694.49,C,USA,2022-01-02
000203,CA4059,76361121.14,C,KON,2022-01-02
000204,CA1901,22716146.52,D,KON,2022-01-02
000205,CA1849,57654593.85,C,USA,2022-01-02
000206,CA9551,94639114.36,D,USA,2022-01-02
000207,CA1358,81723701.39,D,PAL,2022-01-02
000208,CA5160,53404797.37,D,CHN,2022-01-02
000209,CA7972,66576624.79,D,AFG,2022-01-02
000210,CA5166,85285180.59,C,KON,2022-01-02
000211,CA9820,47372740.96,C,CHN,2022-01-02
000212,CA5573,92122705.15,C,CAN,2022-01-02
000213,CA3220,77136749.11,D,KON,2022-01-02
000214,CA6600,77804660.39,D,USA,2022-01-02
000215,CA1240,45192772.52,C,CAN,2022-01-02
000216,CA6268,95070704.51,C,JPN,2022-01-02
000217,CA6769,63425607.32,D,AFG,2022-01-02
000218,CA9406,80446682.42,D,IND,2022-01-02
000219,CA8521,73646822.78,D,IND,2022-01-02
000220,CA4746,49989345.1,C,IND,2022-01-02
000221,CA2143,40101380.24,D,USA,2022-01-02
000222,CA7835,88874758.65,D,CAN,2022-01-02
000223,CA7481,48758233.73,C,IND,2022-01-02
000224,CA2001,9628887.89,C,IND,2022-01-02
000225,CA1482,93451695.91,C,AFG,2022-01-02
000226,CA5026,80122879.04,D,KON,2022-01-02
000227,CA1848,21625042.09,D,AFG,2022-01-02
000228,CA9400,72355401.12,C,JPN,2022-01-02
000229,CA4090,35068815.04,D,KON,2022-01-02
000230,CA7815,59648204.91,D,CAN,2022-01-02
000231,CA6886,48939255.7,C,AFG,2022-01-02
000232,CA8310,60783353.57,D,USA,2022-01-02
000233,CA1498,12942907.44,D,PAL,2022-01-02
000234,CA2345,11139330.23,D,IND,2022-01-02
000235,CA5823,61339936.28,D,IND,2022-01-02
000236,CA6531,63957223.04,C,AFG,2022-01-02
000237,CA5486,83350252.02,D,PAL,2022-01-02
000238,CA3007,37665556.0,D,JPN,2022-01-02
000239,CA9388,84357777.17,C,KON,2022-01-02
000240,CA3711,99654802.31,C,JPN,2022-01-02
000241,CA9034,25957260.71,D,JPN,2022-01-02
000242,CA8016,77125685.89,C,KON,2022-01-02
000243,CA2193,55334916.23,C,CHN,2022-01-02
000244,CA3081,99448861.67,C,IND,2022-01-02
000245,CA6325,56909601.68,D,KON,2022-01-02
000246,CA4545,67368038.84,D,USA,2022-01-02
000247,CA8479,47457430.72,D,CHN,2022-01-02
000248,CA3807,39094657.14,C,CHN,2022-01-02
000249,CA5933,69438506.21,D,JPN,2022-01-02
000250,CA0734,92188542.36,C,CAN,2022-01-02
000251,CA7192,94091889.41,D,USA,2022-01-02
000252,CA3065,73550362.96,D,JPN,2022-01-02
000253,CA0621,22489442.77,D,USA,2022-01-02
000254,CA3064,87713149.24,D,AFG,2022-01-02
000255,CA8121,35609746.93,C,IND,2022-01-02
000256,CA0054,85980448.16,D,KON,2022-01-02
000257,CA0689,26555944.4,C,PAL,2022-01-02
000258,CA9420,43713558.19,D,USA,2022-01-02
000259,CA2292,86305936.84,D,IND,2022-01-02
000260,CA0598,66151585.12,D,JPN,2022-01-02
000261,CA1083,6067406.08,C,CHN,2022-01-02
000262,CA8167,64145418.31,C,KON,2022-01-02
000263,CA6293,80773017.06,D,KON,2022-01-02
000264,CA0050,19813828.3,C,IND,2022-01-02
000265,CA0105,72226569.16,C,CAN,2022-01-02
000266,CA8427,30970634.2,D,USA,2022-01-02
000267,CA5141,29099175.86,D,USA,2022-01-02
000268,CA2619,82774475.65,D,KON,2022-01-02
000269,CA1733,33360254.04,D,USA,2022-01-02
000270,CA7867,24120528.23,C,JPN,2022-01-02
000271,CA0061,55278628.64,D,AFG,2022-01-02
000272,CA2141,1820711.69,C,CAN,2022-01-02
000273,CA4157,82510530.77,D,IND,2022-01-02
000274,CA5893,11200671.91,C,AFG,2022-01-02
000275,CA5162,82068387.48,C,CAN,2022-01-02
000276,CA5634,30343872.95,D,JPN,2022-01-02
000277,CA6813,60097285.87,C,PAL,2022-01-02
000278,CA2951,16981558.33,D,IND,2022-01-02
000279,CA2904,10626151.26,C,AFG,2022-01-02
000280,CA9687,94754619.95,D,IND,2022-01-02
000281,CA9046,91972316.68,C,CAN,2022-01-02
000282,CA8567,28831775.05,C,PAL,2022-01-02
000283,CA7154,13290635.9,D,KON,2022-01-02
000284,CA8259,21965977.73,D,JPN,2022-01-02
000285,CA7417,56339626.21,C,AFG,2022-01-02
000286,CA3384,4598652.49,C,JPN,2022-01-02
000287,CA8353,52983423.33,C,IND,2022-01-02
000288,CA6667,71996616.63,D,IND,2022-01-02
000289,CA9883,25825052.85,D,CAN,2022-01-02
000290,CA5413,81159498.02,D,CAN,2022-01-02
000291,CA8094,51058946.76,C,AFG,2022-01-02
000292,CA8371,92526597.71,C,PAL,2022-01-02
000293,CA0736,28942964.26,D,USA,2022-01-02
000294,CA8028,52977713.46,D,CAN,2022-01-02
000295,CA7358,39197730.64,D,IND,2022-01-02
000296,CA2011,57565494.98,D,CAN,2022-01-02
000297,CA9386,86621762.74,D,USA,2022-01-02
000298,CA9703,85691450.68,C,KON,2022-01-02
000299,CA4880,68332641.97,D,USA,2022-01-02
000300,CA9075,51985596.93,C,USA,2022-01-02
000301,CA4555,8947198.28,C,CHN,2022-01-02
000302,CA8289,88883821.39,C,PAL,2022-01-02
000303,CA0524,55840481.15,C,CHN,2022-01-02
000304,CA2276,62245032.54,D,AFG,2022-01-02
000305,CA5234,93995491.52,D,KON,2022-01-02
000306,CA4235,24482832.58,D,CHN,2022-01-02
000307,CA7404,14860874.33,D,CHN,2022-01-02
000308,CA8030,1008935.56,C,AFG,2022-01-02
000309,CA8848,67844884.15,C,KON,2022-01-02
000310,CA6300,73108923.46,D,KON,2022-01-02
000311,CA3161,84332399.56,C,JPN,2022-01-02
000312,CA7981,83111373.7,D,AFG,2022-01-02
000313,CA5940,91135419.21,D,IND,2022-01-02
000314,CA6938,9110218.95,C,KON,2022-01-02
000315,CA0859,34194506.65,D,CAN,2022-01-02
000316,CA8036,88378421.37,C,CHN,2022-01-02
000317,CA7410,94385762.11,C,KON,2022-01-02
000318,CA3065,44139050.57,D,KON,2022-01-02
000319,CA4714,52827204.14,C,PAL,2022-01-02
000320,CA6896,9028754.64,D,IND,2022-01-02
000321,CA9742,6675825.17,D,CAN,2022-01-02
000322,CA8669,55108730.86,C,PAL,2022-01-02
000323,CA8621,85166194.06,C,AFG,2022-01-02
000324,CA3252,39795039.58,D,KON,2022-01-02
000325,CA9181,86113872.75,D,PAL,2022-01-02
000326,CA2165,8647291.64,D,USA,2022-01-02
000327,CA8315,48194904.46,C,USA,2022-01-02
000328,CA5173,97691712.3,C,USA,2022-01-02
000329,CA5025,49462359.52,D,JPN,2022-01-02
000330,CA4938,79252561.97,C,CAN,2022-01-02
000331,CA5030,50228867.34,C,USA,2022-01-02
000332,CA3278,76152059.16,D,PAL,2022-01-02
000333,CA8175,46797854.75,D,USA,2022-01-02
000334,CA9701,47676272.98,D,USA,2022-01-02
000335,CA0232,50877462.18,D,JPN,2022-01-02
000336,CA0249,10381965.57,C,PAL,2022-01-02
000337,CA1059,80683663.61,C,USA,2022-01-02
000338,CA0763,80970829.29,D,IND,2022-01-02
000339,CA7362,97052937.36,C,KON,2022-01-02
