tran_id,cust_id,tran_ammount,tran_type,tran_stat_cd,tran_date
011466,CA8984,65948657.05,C,WV,2023-01-03
011467,CA6368,92795384.77,C,WV,2023-01-03
011468,CA9249,3977318.25,D,KY,2023-01-03
011469,CA7964,2330378.65,C,NJ,2023-01-03
011470,CA2573,83113335.12,C,NJ,2023-01-03
011471,CA8584,7097874.3,D,CA,2023-01-03
011472,CA8922,58015443.13,C,KY,2023-01-03
011473,CA4129,5016557.61,D,CO,2023-01-03
011474,CA0594,24604861.72,D,KY,2023-01-03
011475,CA3068,34841232.96,D,AZ,2023-01-03
011476,CA6178,45659172.82,C,AL,2023-01-03
011477,CA0432,92230564.69,C,NJ,2023-01-03
011478,CA1048,21193978.65,D,AZ,2023-01-03
011479,CA0552,84618547.04,D,KY,2023-01-03
011480,CA5628,19478102.15,C,AL,2023-01-03
011481,CA1889,15975216.32,C,CA,2023-01-03
011482,CA8874,72056437.46,C,CA,2023-01-03
011483,CA0769,16059791.93,D,KY,2023-01-03
011484,CA4525,4563194.51,C,CA,2023-01-03
011485,CA2837,40830729.27,C,CO,2023-01-03
011486,CA2930,34180831.16,D,WV,2023-01-03
011487,CA5166,89058013.52,C,AK,2023-01-03
011488,CA6145,35463771.03,C,KY,2023-01-03
011489,CA0672,33368722.79,D,KY,2023-01-03
011490,CA5926,50687012.71,C,CO,2023-01-03
011491,CA2214,79443262.22,D,CO,2023-01-03
011492,CA9684,71805043.63,D,WV,2023-01-03
011493,CA3893,14533940.96,C,CA,2023-01-03
011494,CA7092,547893.74,C,KY,2023-01-03
011495,CA2838,22844927.26,C,CA,2023-01-03
011496,CA0223,8144869.7,C,CO,2023-01-03
011497,CA7687,78622421.49,D,WV,2023-01-03
011498,CA8554,32085213.54,D,WV,2023-01-03
011499,CA3375,63536238.99,C,AK,2023-01-03
011500,CA7011,20894561.65,C,AZ,2023-01-03
011501,CA5676,73056181.15,D,AZ,2023-01-03
011502,CA4961,57224598.22,C,CO,2023-01-03
011503,CA8172,68924326.65,C,CO,2023-01-03
011504,CA4888,82851292.0,C,CA,2023-01-03
011505,CA9443,96903099.03,D,CA,2023-01-03
011506,CA0861,52312535.72,D,AZ,2023-01-03
011507,CA6991,4468861.47,D,AK,2023-01-03
011508,CA8628,50964464.58,C,AL,2023-01-03
011509,CA2906,45046117.26,C,AK,2023-01-03
011510,CA6031,50487332.63,C,AZ,2023-01-03
011511,CA8173,32288780.23,C,AZ,2023-01-03
011512,CA7391,11781454.09,C,WV,2023-01-03
011513,CA2394,77257597.41,D,WV,2023-01-03
011514,CA6080,18866115.67,D,AK,2023-01-03
011515,CA6873,8924115.1,C,CA,2023-01-03
011516,CA1922,76373336.94,C,KY,2023-01-03
011517,CA4220,70673054.06,C,CO,2023-01-03
011518,CA6065,58236478.98,C,AK,2023-01-03
011519,CA2207,73646023.23,C,CA,2023-01-03
