tran_id,cust_id,tran_ammount,tran_type,tran_country_cd,tran_date
FX_20220103_000001,cust_3808,61276837.63,D,JPN,2022-01-03
TD_20220103_000002,cust_0803,4994597.14,D,CAN,2022-01-03
FX_20220103_000003,cust_3903,64513515.89,C,USA,2022-01-03
FX_20220103_000004,cust_5623,91840149.5,D,JPN,2022-01-03
FX_20220103_000005,cust_6897,65954094.18,C,JPN,2022-01-03
TD_20220103_000006,cust_9896,41646442.21,C,USA,2022-01-03
TD_20220103_000007,cust_8771,20027992.43,D,CAN,2022-01-03
TD_20220103_000008,cust_3808,37148911.62,C,CAN,2022-01-03
TD_20220103_000009,cust_6705,8165646.21,C,CAN,2022-01-03
FX_20220103_000010,cust_8445,57709648.09,D,JPN,2022-01-03
FX_20220103_000011,cust_1465,1794334.23,C,USA,2022-01-03
TD_20220103_000012,cust_6032,27598378.34,D,JPN,2022-01-03
TD_20220103_000013,cust_3457,57127957.7,C,USA,2022-01-03
FX_20220103_000014,cust_0957,98308440.99,C,IND,2022-01-03
TD_20220103_000015,cust_6793,59410727.5,D,KON,2022-01-03
TD_20220103_000016,cust_0228,49657695.36,D,USA,2022-01-03
FX_20220103_000017,cust_6279,68918627.56,C,PAL,2022-01-03
TD_20220103_000018,cust_7361,56644437.9,D,CHN,2022-01-03
TD_20220103_000019,cust_8397,22532094.72,C,KON,2022-01-03
TD_20220103_000020,cust_7233,2415400.54,C,CAN,2022-01-03
FX_20220103_000021,cust_4851,31124441.5,C,USA,2022-01-03
FX_20220103_000022,cust_9671,77404008.26,D,USA,2022-01-03
FX_20220103_000023,cust_6317,39421233.57,D,USA,2022-01-03
FX_20220103_000024,cust_3348,53906291.05,D,CAN,2022-01-03
TD_20220103_000025,cust_2710,61890913.45,D,KON,2022-01-03
FX_20220103_000026,cust_6004,43368496.26,C,CHN,2022-01-03
FX_20220103_000027,cust_4122,70315097.7,C,CHN,2022-01-03
TD_20220103_000028,cust_0424,13466628.1,D,AFG,2022-01-03
TD_20220103_000029,cust_6670,8709341.71,D,IND,2022-01-03
TD_20220103_000030,cust_5652,33750373.32,D,CAN,2022-01-03
TD_20220103_000031,cust_0595,83006461.31,D,USA,2022-01-03
FX_20220103_000032,cust_3162,2154366.66,C,PAL,2022-01-03
FX_20220103_000033,cust_4795,62510574.14,D,CAN,2022-01-03
TD_20220103_000034,cust_2652,61067383.99,C,KON,2022-01-03
TD_20220103_000035,cust_8012,875385.0,D,KON,2022-01-03
FX_20220103_000036,cust_4299,57566775.11,D,JPN,2022-01-03
TD_20220103_000037,cust_8534,25866988.93,D,AFG,2022-01-03
TD_20220103_000038,cust_9348,71708286.41,D,AFG,2022-01-03
FX_20220103_000039,cust_4125,78304381.21,D,PAL,2022-01-03
TD_20220103_000040,cust_7741,31007029.8,D,USA,2022-01-03
FX_20220103_000041,cust_7848,44723158.91,C,KON,2022-01-03
FX_20220103_000042,cust_5911,65088640.03,C,CHN,2022-01-03
FX_20220103_000043,cust_3796,56769328.04,C,CHN,2022-01-03
FX_20220103_000044,cust_3417,54654411.98,C,CHN,2022-01-03
TD_20220103_000045,cust_4855,13655170.86,D,USA,2022-01-03
FX_20220103_000046,cust_6858,71246928.58,D,AFG,2022-01-03
FX_20220103_000047,cust_3679,75157839.11,C,CAN,2022-01-03
FX_20220103_000048,cust_8858,97092925.14,D,PAL,2022-01-03
FX_20220103_000049,cust_6858,39047348.8,C,KON,2022-01-03
TD_20220103_000050,cust_8765,42553973.52,D,IND,2022-01-03
TD_20220103_000051,cust_9568,62853795.65,D,IND,2022-01-03
FX_20220103_000052,cust_1364,25809838.17,D,CAN,2022-01-03
FX_20220103_000053,cust_5772,34928138.26,C,JPN,2022-01-03
FX_20220103_000054,cust_8946,65815094.32,C,JPN,2022-01-03
FX_20220103_000055,cust_3009,98838408.9,D,IND,2022-01-03
TD_20220103_000056,cust_0054,79145814.22,C,IND,2022-01-03
TD_20220103_000057,cust_4234,665518.75,D,IND,2022-01-03
TD_20220103_000058,cust_2959,54257648.01,C,AFG,2022-01-03
FX_20220103_000059,cust_7230,95076766.32,C,JPN,2022-01-03
TD_20220103_000060,cust_7526,90701823.52,D,CHN,2022-01-03
TD_20220103_000061,cust_9517,49547859.77,D,KON,2022-01-03
TD_20220103_000062,cust_6873,35024011.06,D,PAL,2022-01-03
FX_20220103_000063,cust_7984,21828327.08,D,JPN,2022-01-03
FX_20220103_000064,cust_3194,56043156.41,D,PAL,2022-01-03
FX_20220103_000065,cust_8828,69966379.5,C,KON,2022-01-03
FX_20220103_000066,cust_5796,62817347.9,D,KON,2022-01-03
FX_20220103_000067,cust_5578,97796971.51,D,JPN,2022-01-03
TD_20220103_000068,cust_7210,61145622.2,D,CAN,2022-01-03
FX_20220103_000069,cust_2423,6692984.6,C,PAL,2022-01-03
FX_20220103_000070,cust_0117,59078700.05,C,JPN,2022-01-03
TD_20220103_000071,cust_5449,42559726.63,D,JPN,2022-01-03
FX_20220103_000072,cust_7766,44522452.66,C,CAN,2022-01-03
TD_20220103_000073,cust_1977,82317280.26,C,AFG,2022-01-03
FX_20220103_000074,cust_4900,81632648.8,C,IND,2022-01-03
TD_20220103_000075,cust_5932,93578305.68,D,PAL,2022-01-03
TD_20220103_000076,cust_7506,84448399.77,C,CAN,2022-01-03
FX_20220103_000077,cust_2047,61239549.46,C,AFG,2022-01-03
FX_20220103_000078,cust_6701,27706300.47,C,AFG,2022-01-03
TD_20220103_000079,cust_7324,98756612.14,C,PAL,2022-01-03
FX_20220103_000080,cust_3316,38765423.78,C,AFG,2022-01-03
FX_20220103_000081,cust_1232,24782049.82,C,CAN,2022-01-03
TD_20220103_000082,cust_3821,60089740.64,C,KON,2022-01-03
TD_20220103_000083,cust_0971,23580431.75,D,CHN,2022-01-03
FX_20220103_000084,cust_8444,65182238.84,C,KON,2022-01-03
FX_20220103_000085,cust_8205,36115218.36,C,IND,2022-01-03
FX_20220103_000086,cust_0984,30873234.37,D,JPN,2022-01-03
TD_20220103_000087,cust_1997,92184894.89,D,PAL,2022-01-03
TD_20220103_000088,cust_8514,11983591.75,C,AFG,2022-01-03
FX_20220103_000089,cust_4742,69876017.41,C,IND,2022-01-03
FX_20220103_000090,cust_8049,71762417.03,D,JPN,2022-01-03
