tran_id,cust_id,tran_ammount,tran_type,tran_country_cd,tran_date
FX_20220104_000001,cust_2187,31505213.08,C,JPN,2022-01-04
FX_20220104_000002,cust_3772,95673586.63,C,IND,2022-01-04
FX_20220104_000003,cust_0202,38800070.27,C,CAN,2022-01-04
FX_20220104_000004,cust_8629,63821168.84,D,CAN,2022-01-04
FX_20220104_000005,cust_1459,98085627.28,C,CAN,2022-01-04
TD_20220104_000006,cust_4637,9037593.86,D,CAN,2022-01-04
FX_20220104_000007,cust_6307,90292536.33,C,CHN,2022-01-04
FX_20220104_000008,cust_9248,17694220.36,D,PAL,2022-01-04
FX_20220104_000009,cust_6314,36042497.65,C,KON,2022-01-04
FX_20220104_000010,cust_7393,73949236.74,D,AFG,2022-01-04
TD_20220104_000011,cust_7657,94011686.64,D,KON,2022-01-04
TD_20220104_000012,cust_9891,40440854.85,D,CAN,2022-01-04
FX_20220104_000013,cust_2555,21205606.06,D,CAN,2022-01-04
TD_20220104_000014,cust_0410,45867681.14,C,KON,2022-01-04
TD_20220104_000015,cust_9275,56918114.62,C,PAL,2022-01-04
TD_20220104_000016,cust_7713,83275387.62,D,IND,2022-01-04
TD_20220104_000017,cust_9372,14877555.02,C,PAL,2022-01-04
FX_20220104_000018,cust_2321,28577722.68,D,USA,2022-01-04
FX_20220104_000019,cust_0304,36091584.45,D,USA,2022-01-04
FX_20220104_000020,cust_6228,61158603.56,D,IND,2022-01-04
TD_20220104_000021,cust_1888,35603025.91,D,CAN,2022-01-04
TD_20220104_000022,cust_7537,96603362.12,D,CHN,2022-01-04
FX_20220104_000023,cust_0047,61926185.24,C,CHN,2022-01-04
FX_20220104_000024,cust_5264,26266117.85,C,AFG,2022-01-04
TD_20220104_000025,cust_2530,65433839.19,C,KON,2022-01-04
TD_20220104_000026,cust_8336,43283468.39,D,KON,2022-01-04
TD_20220104_000027,cust_1005,98076341.39,D,USA,2022-01-04
TD_20220104_000028,cust_9600,17270051.19,C,CHN,2022-01-04
FX_20220104_000029,cust_6520,55738340.87,D,USA,2022-01-04
FX_20220104_000030,cust_8461,57023214.21,D,PAL,2022-01-04
FX_20220104_000031,cust_4621,36790441.79,D,KON,2022-01-04
TD_20220104_000032,cust_5497,63599155.96,D,IND,2022-01-04
TD_20220104_000033,cust_9460,5495677.54,C,USA,2022-01-04
TD_20220104_000034,cust_7369,94051564.65,D,USA,2022-01-04
FX_20220104_000035,cust_1837,69423984.89,C,KON,2022-01-04
TD_20220104_000036,cust_6672,18536528.63,C,KON,2022-01-04
TD_20220104_000037,cust_0666,87568370.61,D,KON,2022-01-04
FX_20220104_000038,cust_2418,91076448.5,C,JPN,2022-01-04
TD_20220104_000039,cust_7011,83930107.99,C,PAL,2022-01-04
FX_20220104_000040,cust_8684,2512939.08,D,KON,2022-01-04
FX_20220104_000041,cust_5178,78724872.18,C,CHN,2022-01-04
FX_20220104_000042,cust_2764,76044078.51,D,AFG,2022-01-04
TD_20220104_000043,cust_7250,64294086.15,C,KON,2022-01-04
FX_20220104_000044,cust_2089,95487784.55,C,CHN,2022-01-04
FX_20220104_000045,cust_7687,10812904.93,C,KON,2022-01-04
TD_20220104_000046,cust_7339,65063350.78,C,CHN,2022-01-04
FX_20220104_000047,cust_3192,26702022.13,C,CHN,2022-01-04
FX_20220104_000048,cust_7572,14961663.0,D,AFG,2022-01-04
TD_20220104_000049,cust_3441,24025261.05,C,JPN,2022-01-04
FX_20220104_000050,cust_9659,52204670.82,D,KON,2022-01-04
FX_20220104_000051,cust_8767,47742785.25,C,AFG,2022-01-04
TD_20220104_000052,cust_6845,59426307.17,D,PAL,2022-01-04
TD_20220104_000053,cust_6951,56043034.58,D,CAN,2022-01-04
TD_20220104_000054,cust_4974,54589122.54,D,CAN,2022-01-04
FX_20220104_000055,cust_4804,84103125.57,D,JPN,2022-01-04
FX_20220104_000056,cust_7050,38688633.32,D,CHN,2022-01-04
TD_20220104_000057,cust_0766,76562485.42,D,JPN,2022-01-04
FX_20220104_000058,cust_4677,61660822.88,D,USA,2022-01-04
TD_20220104_000059,cust_0196,71847993.36,C,PAL,2022-01-04
FX_20220104_000060,cust_0868,40699315.23,D,PAL,2022-01-04
TD_20220104_000061,cust_0817,2153898.15,D,USA,2022-01-04
FX_20220104_000062,cust_4077,35911849.28,C,USA,2022-01-04
TD_20220104_000063,cust_0482,45798399.25,C,CAN,2022-01-04
FX_20220104_000064,cust_8724,20396779.18,C,AFG,2022-01-04
FX_20220104_000065,cust_8385,61021702.95,D,JPN,2022-01-04
TD_20220104_000066,cust_2657,73015881.19,C,USA,2022-01-04
TD_20220104_000067,cust_6519,89796743.33,C,AFG,2022-01-04
TD_20220104_000068,cust_0699,29220057.36,D,USA,2022-01-04
FX_20220104_000069,cust_2199,51146072.73,C,PAL,2022-01-04
FX_20220104_000070,cust_8545,60524959.7,C,USA,2022-01-04
TD_20220104_000071,cust_0258,33958082.31,C,PAL,2022-01-04
