tran_id,cust_id,tran_ammount,tran_type,tran_stat_cd,tran_date
032584,CA9050,19765838.07,D,AL,2023-01-06
032585,CA6202,66200382.14,D,CO,2023-01-06
032586,CA2397,64375673.31,C,NJ,2023-01-06
032587,CA1323,33193852.15,C,WV,2023-01-06
032588,CA5192,5178862.4,D,CA,2023-01-06
032589,CA2334,57580418.33,C,AZ,2023-01-06
032590,CA3855,30665524.73,C,NJ,2023-01-06
032591,CA6431,68152711.26,D,AZ,2023-01-06
032592,CA4789,50227384.97,C,AL,2023-01-06
032593,CA8861,9734020.42,D,NJ,2023-01-06
032594,CA6395,82983793.31,D,NJ,2023-01-06
032595,CA9970,83333311.57,C,KY,2023-01-06
032596,CA2576,50309179.28,D,NJ,2023-01-06
032597,CA6363,49394645.53,C,AZ,2023-01-06
032598,CA4605,85286316.65,C,CA,2023-01-06
032599,CA4575,57811750.91,C,NJ,2023-01-06
032600,CA8797,35948614.57,C,AZ,2023-01-06
032601,CA6263,12048234.25,D,AK,2023-01-06
032602,CA5523,65572421.84,D,AK,2023-01-06
032603,CA6544,56492681.05,D,CO,2023-01-06
032604,CA8053,69140233.56,D,AZ,2023-01-06
032605,CA1265,99411473.77,D,WV,2023-01-06
032606,CA7391,27680353.77,C,CO,2023-01-06
032607,CA9591,72590841.14,C,WV,2023-01-06
032608,CA2830,55833032.44,D,WV,2023-01-06
032609,CA1031,23667068.5,D,KY,2023-01-06
032610,CA6858,44138578.34,C,KY,2023-01-06
032611,CA4385,82116042.88,D,CO,2023-01-06
032612,CA9273,98058204.25,C,AK,2023-01-06
032613,CA5496,40173953.31,D,AZ,2023-01-06
032614,CA1484,52999157.99,C,AL,2023-01-06
032615,CA3089,81416011.24,D,WV,2023-01-06
032616,CA4595,9880133.73,D,WV,2023-01-06
032617,CA2335,42738056.64,C,AL,2023-01-06
032618,CA2887,64219583.55,C,AK,2023-01-06
032619,CA9588,70637711.92,D,CO,2023-01-06
032620,CA9583,87943474.8,C,CA,2023-01-06
032621,CA2297,85214903.56,C,AZ,2023-01-06
032622,CA0788,99473192.35,D,CA,2023-01-06
032623,CA1471,52639985.42,C,CO,2023-01-06
032624,CA5026,23203614.41,C,KY,2023-01-06
032625,CA3833,87341607.75,C,CA,2023-01-06
032626,CA1117,56899182.77,D,WV,2023-01-06
032627,CA8807,613374.36,C,AZ,2023-01-06
032628,CA0533,73630126.31,C,AL,2023-01-06
032629,CA9884,26273524.09,D,NJ,2023-01-06
032630,CA3221,69368689.2,C,NJ,2023-01-06
032631,CA8913,38090682.72,C,AL,2023-01-06
032632,CA3649,88604008.46,C,AZ,2023-01-06
032633,CA6296,23299887.56,D,AZ,2023-01-06
032634,CA9699,22775390.11,D,NJ,2023-01-06
032635,CA5513,33419962.64,C,AZ,2023-01-06
032636,CA6325,32646581.33,D,CO,2023-01-06
032637,CA6454,74020458.29,C,KY,2023-01-06
